label,precision,recall,f1-score,support
0,0.570873786407767,0.6295503211991434,0.5987780040733197,467.0
1,0.48987108655616945,0.3619047619047619,0.4162754303599374,735.0
2,0.6953242835595776,0.5887611749680716,0.6376210235131397,783.0
3,0.8339464004203888,0.8681619256017505,0.8507102653444116,1828.0
4,0.42436974789915966,0.5771428571428572,0.4891041162227603,525.0
macro avg,0.6028770609686125,0.6051042081633169,0.5984977679027137,4338.0
weighted avg,0.6727386718565908,0.6710465652374366,0.6677563523960618,4338.0
