label,precision,recall,f1-score,support
0,0.7235772357723578,0.5705128205128205,0.6379928315412187,468.0
1,0.4839142091152815,0.49115646258503404,0.487508440243079,735.0
2,0.671990171990172,0.6994884910485933,0.6854636591478697,782.0
3,0.8410174880763116,0.8676872607982504,0.8541442411194833,1829.0
4,0.497131931166348,0.49523809523809526,0.4961832061068702,525.0
macro avg,0.6435262072240941,0.6248166260365586,0.6322584756317041,4339.0
weighted avg,0.6957876593895868,0.696473841899055,0.6950121987571396,4339.0
