threshold,precision,recall,f1,accuracy
0.0,0.2,1.0,0.3333333333333333,0.2
0.01,0.2111111111111111,0.95,0.34545454545454546,0.28
0.02,0.2111111111111111,0.95,0.34545454545454546,0.28
0.03,0.2111111111111111,0.95,0.34545454545454546,0.28
0.04,0.2111111111111111,0.95,0.34545454545454546,0.28
0.05,0.2111111111111111,0.95,0.34545454545454546,0.28
0.06,0.21348314606741572,0.95,0.3486238532110092,0.29
0.07,0.21348314606741572,0.95,0.3486238532110092,0.29
0.08,0.20454545454545456,0.9,0.3333333333333333,0.28
0.09,0.20454545454545456,0.9,0.3333333333333333,0.28
0.1,0.19540229885057472,0.85,0.3177570093457944,0.27
0.11,0.19540229885057472,0.85,0.3177570093457944,0.27
0.12,0.19047619047619047,0.8,0.3076923076923077,0.28
0.13,0.19047619047619047,0.8,0.3076923076923077,0.28
0.14,0.1951219512195122,0.8,0.3137254901960784,0.3
0.15,0.1951219512195122,0.8,0.3137254901960784,0.3
0.16,0.1951219512195122,0.8,0.3137254901960784,0.3
0.17,0.19753086419753085,0.8,0.31683168316831684,0.31
0.18,0.19753086419753085,0.8,0.31683168316831684,0.31
0.19,0.189873417721519,0.75,0.30303030303030304,0.31
0.2,0.189873417721519,0.75,0.30303030303030304,0.31
0.21,0.19230769230769232,0.75,0.30612244897959184,0.32
0.22,0.19230769230769232,0.75,0.30612244897959184,0.32
0.23,0.19230769230769232,0.75,0.30612244897959184,0.32
0.24,0.19230769230769232,0.75,0.30612244897959184,0.32
0.25,0.19480519480519481,0.75,0.30927835051546393,0.33
0.26,0.19480519480519481,0.75,0.30927835051546393,0.33
0.27,0.19480519480519481,0.75,0.30927835051546393,0.33
0.28,0.19480519480519481,0.75,0.30927835051546393,0.33
0.29,0.19736842105263158,0.75,0.3125,0.34
0.3,0.2,0.75,0.3157894736842105,0.35
0.31,0.2,0.75,0.3157894736842105,0.35
0.32,0.20270270270270271,0.75,0.3191489361702128,0.36
0.33,0.20270270270270271,0.75,0.3191489361702128,0.36
0.34,0.20270270270270271,0.75,0.3191489361702128,0.36
0.35,0.20270270270270271,0.75,0.3191489361702128,0.36
0.36,0.20270270270270271,0.75,0.3191489361702128,0.36
0.37,0.20833333333333334,0.75,0.32608695652173914,0.38
0.38,0.20833333333333334,0.75,0.32608695652173914,0.38
0.39,0.20833333333333334,0.75,0.32608695652173914,0.38
0.4,0.21428571428571427,0.75,0.3333333333333333,0.4
0.41,0.21428571428571427,0.75,0.3333333333333333,0.4
0.42,0.21428571428571427,0.75,0.3333333333333333,0.4
0.43,0.2028985507246377,0.7,0.3146067415730337,0.39
0.44,0.19117647058823528,0.65,0.29545454545454547,0.38
0.45,0.19117647058823528,0.65,0.29545454545454547,0.38
0.46,0.19117647058823528,0.65,0.29545454545454547,0.38
0.47,0.19402985074626866,0.65,0.2988505747126437,0.39
0.48,0.19402985074626866,0.65,0.2988505747126437,0.39
0.49,0.2,0.65,0.3058823529411765,0.41
0.5,0.2,0.65,0.3058823529411765,0.41
0.51,0.2,0.65,0.3058823529411765,0.41
0.52,0.203125,0.65,0.30952380952380953,0.42
0.53,0.203125,0.65,0.30952380952380953,0.42
0.54,0.203125,0.65,0.30952380952380953,0.42
0.55,0.203125,0.65,0.30952380952380953,0.42
0.56,0.19047619047619047,0.6,0.2891566265060241,0.41
0.57,0.19047619047619047,0.6,0.2891566265060241,0.41
0.58,0.19047619047619047,0.6,0.2891566265060241,0.41
0.59,0.19047619047619047,0.6,0.2891566265060241,0.41
0.6,0.19047619047619047,0.6,0.2891566265060241,0.41
0.61,0.19047619047619047,0.6,0.2891566265060241,0.41
0.62,0.19047619047619047,0.6,0.2891566265060241,0.41
0.63,0.1935483870967742,0.6,0.2926829268292683,0.42
0.64,0.1935483870967742,0.6,0.2926829268292683,0.42
0.65,0.1935483870967742,0.6,0.2926829268292683,0.42
0.66,0.19672131147540983,0.6,0.2962962962962963,0.43
0.67,0.19672131147540983,0.6,0.2962962962962963,0.43
0.68,0.19672131147540983,0.6,0.2962962962962963,0.43
0.69,0.2,0.6,0.3,0.44
0.7,0.19298245614035087,0.55,0.2857142857142857,0.45
0.71,0.19298245614035087,0.55,0.2857142857142857,0.45
0.72,0.19298245614035087,0.55,0.2857142857142857,0.45
0.73,0.19642857142857142,0.55,0.2894736842105263,0.46
0.74,0.2,0.55,0.29333333333333333,0.47
0.75,0.2,0.55,0.29333333333333333,0.47
0.76,0.2,0.55,0.29333333333333333,0.47
0.77,0.2037037037037037,0.55,0.2972972972972973,0.48
0.78,0.20754716981132076,0.55,0.3013698630136986,0.49
0.79,0.20754716981132076,0.55,0.3013698630136986,0.49
0.8,0.21568627450980393,0.55,0.30985915492957744,0.51
0.81,0.22448979591836735,0.55,0.3188405797101449,0.53
0.82,0.20833333333333334,0.5,0.29411764705882354,0.52
0.83,0.20833333333333334,0.5,0.29411764705882354,0.52
0.84,0.2127659574468085,0.5,0.29850746268656714,0.53
0.85,0.18181818181818182,0.4,0.25,0.52
0.86,0.18604651162790697,0.4,0.25396825396825395,0.53
0.87,0.19047619047619047,0.4,0.25806451612903225,0.54
0.88,0.19047619047619047,0.4,0.25806451612903225,0.54
0.89,0.19047619047619047,0.4,0.25806451612903225,0.54
0.9,0.1951219512195122,0.4,0.26229508196721313,0.55
0.91,0.20512820512820512,0.4,0.2711864406779661,0.57
0.92,0.21052631578947367,0.4,0.27586206896551724,0.58
0.93,0.1891891891891892,0.35,0.24561403508771928,0.57
0.94,0.21212121212121213,0.35,0.2641509433962264,0.61
