threshold,precision,recall,f1,accuracy
0.0,0.16932509680988383,1.0,0.28961166962349694,0.16932509680988383
0.01,0.1940795922368163,0.8086033215355295,0.31302698145025293,0.3990411211506546
0.02,0.19493775933609958,0.639531717941737,0.2987979393245564,0.49174810990226814
0.03,0.18632866443085422,0.5142934930574462,0.2735500687857505,0.537479255024894
0.04,0.18039788692817804,0.43697250204192756,0.2553699284009546,0.5685045177945787
0.05,0.1723103836061477,0.3754424176422543,0.23621103117505995,0.588880693343168
0.06,0.16807294501905282,0.3362374081132589,0.2241175936847836,0.6057993730407524
0.07,0.1630832236360977,0.3035665668390961,0.21217887725975262,0.6182924580490503
0.08,0.15836326721849134,0.2760686087666757,0.20127034537514887,0.6289876452148258
0.09,0.15204098496116344,0.2504764497685815,0.18922254216371864,0.6365480361423567
0.1,0.14608695652173914,0.22869588891913967,0.17828716969118116,0.643048128342246
0.11,0.13874298134395943,0.20854887013340592,0.1666304111376985,0.6467822238613313
0.12,0.13316869300911854,0.1908521644432344,0.15687590914177016,0.6526369168356998
0.13,0.1300925014760874,0.17996188401851348,0.15101667809001598,0.6573852111377466
0.14,0.12359550561797752,0.16471549142390415,0.14122315592903828,0.6607966070440715
0.15,0.11984781230183894,0.15436972502041926,0.13493574488338886,0.6648534021759174
0.16,0.11453551912568306,0.14266267356384427,0.1270611057225994,0.6680803983035221
0.17,0.11101103355100203,0.13422270623468555,0.1215183633226522,0.6713995943204868
0.18,0.10748204771832291,0.12632725292676286,0.11614518147684606,0.6744421906693712
0.19,0.1056891216377053,0.1208821127144024,0.1127762255524511,0.6779457864650562
0.2,0.10208588957055215,0.11325891641709775,0.10738255033557047,0.6811727825926609
0.21,0.0965952080706179,0.10427443506670296,0.10028803351662739,0.6832011801585838
0.22,0.09275959804174182,0.09801252382248843,0.09531374106433678,0.6849529780564263
0.23,0.09002369044485391,0.093111897631364,0.09154175588865096,0.6870735755117093
0.24,0.08668813741277509,0.08793901442962156,0.08730909582375997,0.6886870735755117
0.25,0.08493150684931507,0.08439967329158726,0.08466475488187901,0.6909920708095151
0.26,0.08200391827595858,0.07977130411108085,0.08087220535467844,0.6929743684307579
0.27,0.07843696520250998,0.07487067791995644,0.07661234155174815,0.69440346671584
0.28,0.07694541231126598,0.0721481078137762,0.07446957987916257,0.6963396643924027
0.29,0.07392075694855116,0.06806425265450586,0.07087172218284904,0.6978148626221649
0.3,0.07278195488721804,0.06588619656956167,0.06916261789082595,0.6997049603540476
0.31,0.07028852056476366,0.06234685543152736,0.06607993074592411,0.7015950580859303
0.32,0.06739469578783151,0.058807514293493054,0.06280895609188718,0.7028397565922921
0.33,0.0664346725719709,0.05717397222978492,0.061457418788410885,0.7043149548220542
0.34,0.06453694740238787,0.054451402123604685,0.05906674542232723,0.706251152498617
0.35,0.0636215334420881,0.053090117070514566,0.0578806767586821,0.7073575511709386
0.36,0.06208499335989376,0.05091206098557038,0.05594614809274495,0.709063249124101
0.37,0.06132075471698113,0.04955077593248026,0.054811022436380065,0.7106306472432233
0.38,0.05844155844155844,0.046555948815682,0.05182603424761328,0.7115526461368247
0.39,0.05649913344887349,0.04437789273073782,0.04971027752363526,0.7127051447538263
0.4,0.0554182845040593,0.042744350667029675,0.048263141715339686,0.714549142541029
0.41,0.053763440860215055,0.04083855159270351,0.04641807210273867,0.7158860409367509
0.42,0.052018915969443434,0.03893275251837735,0.044534412955465584,0.7171307394431127
0.43,0.05167958656330749,0.03811598148652328,0.04387339392040113,0.7186981375622349
0.44,0.050187265917602995,0.036482439422815136,0.042251300646381836,0.7199428360685968
0.45,0.049677664012135005,0.03566566839096107,0.041521394611727415,0.7211875345749585
0.46,0.04875239923224568,0.03457664034848897,0.0404587448231921,0.7222939332472801
0.47,0.047748447204968944,0.03348761230601688,0.039366298607777246,0.7232620320855615
0.48,0.04784313725490196,0.03321535529539885,0.03920938454121806,0.724368430757883
0.49,0.04597701149425287,0.031581813231690715,0.03744351194318916,0.7250599299280841
0.5,0.045619701251513926,0.030765042199836647,0.0367479674796748,0.7269039277152868
0.51,0.041084634346754315,0.027225701061802342,0.032749304077288356,0.7276876267748479
0.52,0.04107883817427386,0.026953444051184317,0.0325497287522604,0.7287018255578094
0.53,0.04013519222644698,0.025864416008712223,0.03145695364238411,0.7303153236216117
0.54,0.03900557222460351,0.02477538796624013,0.030303030303030304,0.7315139221832934
0.55,0.03866203301476977,0.024230873945004085,0.029790794979079497,0.7327586206896551
0.56,0.03773584905660377,0.023414102913150013,0.02889784946236559,0.7335423197492164
0.57,0.037677304964539006,0.02314184590253199,0.028672626075223476,0.7345104185874977
0.58,0.03821942446043165,0.02314184590253199,0.028828217737832798,0.7359856168172598
0.59,0.03696942035600183,0.022052817860059897,0.02762619372442019,0.7371381154342614
0.6,0.036044362292051754,0.021236046828205825,0.026726057906458798,0.7381062142725429
0.61,0.03604868913857678,0.020963789817587803,0.02651058702014116,0.7393048128342246
0.62,0.03556187766714083,0.020419275796351756,0.025942580421999307,0.7403651115618661
0.63,0.03473227206946455,0.019602504764497687,0.025060911938739994,0.7417481099022681
0.64,0.03341523341523341,0.018513476722025593,0.023826208829712685,0.7431311082426701
0.65,0.03232222774738936,0.01769670569017152,0.02287121745249824,0.7439609072469113
0.66,0.03185035389282103,0.017152191668935474,0.022296938594938948,0.7452978056426333
0.67,0.03076923076923077,0.016335420637081405,0.02134092121643251,0.7463120044255946
0.68,0.030601659751037343,0.016063163626463383,0.02106766648812712,0.747234003319196
