threshold,precision,recall,f1,accuracy
0.76,0.039399624765478425,0.02858698611489246,0.03313348059324708,0.7174995390005532
0.77,0.03655252020007695,0.025864416008712223,0.030293367346938774,0.7196201364558362
0.78,0.03509463722397476,0.024230873945004085,0.028668062489933966,0.7219712336345196
0.79,0.034385113268608415,0.02314184590253199,0.027664768104149716,0.7245528305366034
0.8,0.03336113427856547,0.021780560849441872,0.026354801515401087,0.7275032269961276
0.81,0.03116883116883117,0.019602504764497687,0.024068193214106637,0.7308224230130924
0.82,0.03168228469433289,0.019330247753879662,0.024010821778829895,0.7339111193066569
0.83,0.027637033625057577,0.016335420637081405,0.02053388090349076,0.7361239166513001
0.84,0.025775656324582338,0.014701878573373264,0.01872399445214979,0.7390743131108243
0.85,0.02437810945273632,0.013340593520283148,0.01724441316206229,0.7425318089618292
0.86,0.02224521469218831,0.011707051456575007,0.015340706386014985,0.7455283053660335
0.87,0.018898488120950324,0.00952899537163082,0.012669683257918552,0.7485248017702378
0.88,0.018602029312288614,0.008984481350394773,0.012116761520102808,0.7519361976765628
0.89,0.017129356172474897,0.007895453307922679,0.01080879612374208,0.7553014936382076
0.9,0.01485148514851485,0.006534168254832562,0.009075439591605219,0.7583901899317721
0.91,0.011147540983606558,0.004628369180506398,0.006540977298961139,0.7619398856721372
0.92,0.008516678495386799,0.003267084127416281,0.004722550177095631,0.7668264798082243
0.93,0.007639419404125287,0.002722570106180234,0.004014452027298274,0.7712520744975107
0.94,0.0066945606694560665,0.0021780560849441874,0.003286770747740345,0.7763230684123179
0.95,0.005628517823639775,0.0016335420637081405,0.0025321797847647183,0.7820855614973262
0.96,0.004291845493562232,0.0010890280424720937,0.001737242128121607,0.7880785543057348
0.97,0.002638522427440633,0.0005445140212360468,0.0009027307605506658,0.7959155449013461
0.98,0.0017513134851138354,0.0002722570106180234,0.000471253534401508,0.8044440346671584
0.99,0.0,0.0,0.0,0.8161073206712152
1.0,0.0,0.0,0.0,0.8306749031901162
