threshold,precision,recall,f1,accuracy
0.0,0.16932509680988383,1.0,0.28961166962349694,0.16932509680988383
0.01,0.15603932584269664,0.6049550775932481,0.2480879807960699,0.37907984510418585
0.02,0.14443532134059864,0.5268173155458753,0.22671353251318102,0.39148073022312374
0.03,0.13478159308572762,0.4712768853797985,0.20961491886655365,0.3982113221464134
0.04,0.12638509715753973,0.42853253471276886,0.19520059527500466,0.4016688179974184
0.05,0.11937474290415467,0.395044922406752,0.18334596916856205,0.4041121150654619
0.06,0.11383891037497898,0.3686359923768037,0.17395773109783516,0.40720081135902636
0.07,0.1083010752688172,0.34277157636809147,0.16459667930448424,0.41084270698875164
0.08,0.10297864862490115,0.3190852164443234,0.15570612461804173,0.41406970311635627
0.09,0.09793399517037832,0.29812142662673563,0.1474350343341861,0.4161903005716393
0.1,0.09304442825928623,0.2782466648516199,0.13945555024902778,0.4185413977503227
0.11,0.08898148148148148,0.2616389872039205,0.1327990050438748,0.4213995943204868
0.12,0.08443271767810026,0.24394228151374897,0.1254462723136157,0.42407339111193065
0.13,0.08048174345249474,0.2292404029403757,0.1191368942341705,0.42600958878849343
0.14,0.07766050159775346,0.21835012251565478,0.11457142857142857,0.4285450857458971
0.15,0.074487895716946,0.20691532806969778,0.10954165465552032,0.43038908353309974
0.16,0.07093821510297482,0.1941192485706507,0.1039055668901195,0.4330628803245436
0.17,0.06826661288696179,0.18431799618840186,0.09963208241353937,0.4359210768947077
0.18,0.06573154499846422,0.17478900081677104,0.09553571428571428,0.439609072469113
0.19,0.06260364842454395,0.16444323441328615,0.09068388259139704,0.4415913700903559
0.2,0.05979230043008497,0.15518649605227336,0.08632439800090867,0.443758067490319
0.21,0.057330926849984074,0.14701878573373264,0.08249312557286893,0.4462474645030426
0.22,0.055024180548092425,0.139395589436428,0.078902758514409,0.44892126129448645
0.23,0.05277475516866159,0.13204465014974134,0.07541009095856333,0.4517333579199705
0.24,0.05098901098901099,0.12632725292676286,0.07265325295545291,0.4539461552646137
0.25,0.04951154529307283,0.12142662673563845,0.07034145572115763,0.4565277521666974
0.26,0.04775784753363229,0.11598148652327797,0.06765663463829111,0.4587405495113406
0.27,0.0453512161854967,0.10863054723659134,0.06398845321145057,0.4618753457495851
0.28,0.04334329730972637,0.10264089300299482,0.06094899361409749,0.4644569426516688
0.29,0.042053903345724904,0.09855703784372448,0.05895285400211709,0.4672229393324728
